,Team,team
0,Anaheim Ducks,ANA
1,Arizona Coyotes,ARI
2,Boston Bruins,BOS
3,Buffalo Sabres,BUF
4,Calgary Flames,CGY
5,Carolina Hurricanes,CAR
6,Chicago Blackhawks,CHI
7,Colorado Avalanche,COL
8,Columbus Blue Jackets,CBJ
9,Dallas Stars,DAL
10,Detroit Red Wings,DET
11,Edmonton Oilers,EDM
12,Florida Panthers,FLA
13,Los Angeles Kings,LAK
14,Minnesota Wild,MIN
15,Montréal Canadiens,MTL
16,Nashville Predators,NSH
17,New Jersey Devils,NJD
18,New York Islanders,NYI
19,New York Rangers,NYR
20,Ottawa Senators,OTT
21,Philadelphia Flyers,PHI
22,Pittsburgh Penguins,PIT
23,San Jose Sharks,SJS
24,Seattle Kraken,SEA
25,St. Louis Blues,STL
26,Tampa Bay Lightning,TBL
27,Toronto Maple Leafs,TOR
28,Vancouver Canucks,VAN
29,Vegas Golden Knights,VGK
30,Washington Capitals,WSH
31,Winnipeg Jets,WPG
